,Generation,Father,Mother
0,0,14,7
1,1,14,14
2,2,14,11
3,3,14,14
4,4,14,14
5,5,16,14
6,6,16,15
7,7,16,16
8,8,16,16
9,9,16,16
10,10,16,16
11,11,16,16
12,12,16,16
13,13,16,11
14,14,16,16
15,15,16,14
16,16,16,14
17,17,16,14
18,18,16,16
19,19,16,14
20,20,16,16
21,21,16,14
22,22,16,14
23,23,16,13
24,24,16,16
25,25,16,16
26,26,16,16
27,27,16,13
28,28,16,16
29,29,16,16
30,30,16,13
31,31,16,14
32,32,17,16
33,33,17,13
34,34,17,16
35,35,17,15
36,36,18,17
37,37,18,15
38,38,18,16
39,39,18,17
40,40,18,11
41,41,18,11
42,42,18,18
43,43,18,18
44,44,18,18
45,45,19,18
46,46,19,17
47,47,19,18
48,48,19,13
49,49,19,17
50,50,19,19
51,51,19,17
52,52,19,18
53,53,19,17
54,54,19,17
55,55,19,15
56,56,19,16
57,57,19,16
58,58,19,16
59,59,19,16
60,60,19,19
61,61,19,17
62,62,19,17
63,63,19,16
64,64,19,16
65,65,19,17
66,66,19,16
67,67,19,16
68,68,19,16
69,69,19,14
70,70,19,14
71,71,19,16
72,72,19,18
73,73,19,17
74,74,19,17
75,75,19,18
76,76,19,18
77,77,19,18
78,78,19,18
79,79,19,18
80,80,19,13
81,81,19,17
82,82,19,17
83,83,19,16
84,84,19,14
85,85,19,18
86,86,19,14
87,87,19,14
88,88,19,14
89,89,19,18
90,90,19,18
91,91,19,19
92,92,19,19
93,93,19,17
94,94,19,18
95,95,19,18
96,96,19,17
97,97,19,18
98,98,19,17
99,99,19,14
100,100,19,18
101,101,19,16
102,102,19,18
103,103,19,18
104,104,20,19
105,105,20,18
106,106,20,18
107,107,20,16
108,108,20,18
109,109,20,16
110,110,20,16
111,111,20,17
112,112,20,17
113,113,20,18
114,114,20,17
115,115,20,16
116,116,20,18
117,117,20,18
118,118,20,19
119,119,20,17
120,120,20,18
121,121,20,17
122,122,20,15
