,Generation,Father,Mother
0,0,17,9
1,1,17,14
2,2,17,14
3,3,17,17
4,4,17,17
5,5,17,15
6,6,17,14
7,7,17,7
8,8,17,15
9,9,17,14
10,10,17,17
11,11,17,17
12,12,17,15
13,13,17,16
14,14,17,17
15,15,17,15
16,16,17,15
17,17,17,13
18,18,17,16
19,19,17,14
20,20,17,14
21,21,17,12
22,22,17,16
23,23,17,15
24,24,21,17
25,25,21,10
26,26,21,9
27,27,21,14
28,28,21,16
29,29,21,15
30,30,21,14
31,31,21,16
32,32,21,21
33,33,21,21
34,34,21,21
35,35,21,21
36,36,21,21
37,37,21,16
38,38,21,9
39,39,21,13
40,40,21,16
41,41,21,16
42,42,21,16
43,43,21,17
44,44,21,21
45,45,21,18
46,46,21,11
47,47,21,18
48,48,21,18
49,49,21,21
50,50,21,18
51,51,21,16
52,52,21,17
53,53,21,18
54,54,21,18
55,55,21,13
56,56,21,17
57,57,21,17
58,58,21,13
59,59,21,14
60,60,21,21
61,61,21,21
62,62,21,21
63,63,21,16
64,64,21,16
65,65,21,10
66,66,21,13
67,67,21,13
68,68,21,14
69,69,21,17
70,70,21,14
71,71,21,16
72,72,21,14
73,73,21,18
74,74,21,17
75,75,21,11
76,76,21,14
77,77,21,14
78,78,21,16
79,79,21,21
80,80,21,21
81,81,21,21
82,82,21,16
83,83,21,16
84,84,21,16
85,85,21,16
86,86,21,16
87,87,21,10
88,88,21,13
89,89,21,14
90,90,21,13
91,91,21,17
92,92,21,18
93,93,21,17
94,94,21,11
95,95,21,11
96,96,21,13
97,97,21,13
98,98,21,16
99,99,21,9
100,100,21,13
101,101,21,17
102,102,21,11
103,103,21,10
104,104,21,12
105,105,21,11
106,106,21,11
107,107,21,21
108,108,21,16
109,109,21,16
110,110,21,13
111,111,21,13
112,112,21,17
113,113,21,17
114,114,21,21
115,115,21,18
116,116,21,21
117,117,21,17
118,118,21,14
119,119,21,9
120,120,21,17
121,121,21,21
122,122,21,21
123,123,21,21
124,124,21,21
125,125,23,21
126,126,23,13
127,127,23,16
128,128,23,13
129,129,23,15
130,130,23,17
131,131,23,15
132,132,23,17
133,133,23,23
134,134,23,23
135,135,23,17
136,136,23,17
137,137,23,15
138,138,23,11
139,139,23,20
140,140,23,20
141,141,23,23
142,142,23,14
