,Generation,Father,Mother
0,0,9,8
1,1,13,9
2,2,13,10
3,3,13,10
4,4,13,10
5,5,13,10
6,6,13,13
7,7,13,13
8,8,13,13
9,9,13,13
10,10,13,13
11,11,13,13
12,12,16,14
13,13,16,12
14,14,16,12
15,15,16,12
16,16,16,12
17,17,16,12
18,18,16,13
19,19,16,15
20,20,16,15
21,21,16,12
22,22,16,16
23,23,16,13
24,24,16,16
25,25,16,13
26,26,16,11
27,27,16,12
28,28,16,16
29,29,16,16
30,30,16,13
31,31,16,13
32,32,16,13
33,33,16,16
34,34,16,16
35,35,16,13
36,36,16,16
37,37,16,16
38,38,16,13
39,39,16,16
40,40,16,12
41,41,16,16
42,42,16,16
